keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
c,1,3.223,,,,,,,,1.723,space,7.649,0,0,0,6,1,1.5,images/target_cross.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
b,1,2.809,,,,,,,,1.709,space,0.918,0,1,1,7,1,1.1,images/target_plus.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
b,1,1.944,,,,,,,,0.644,space,0.853,0,2,2,1,1,1.3,images/target_plus.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
v,0,1.861,,,,,,,,0.761,space,1.092,0,3,3,0,1,1.1,images/target_cross.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
v,1,2.045,,,,,,,,0.745,space,0.57,0,4,4,8,1,1.3,images/target_square.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
v,1,1.745,,,,,,,,0.645,space,0.438,0,5,5,5,1,1.1,images/target_square.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
c,1,1.944,,,,,,,,0.644,space,0.438,0,6,6,3,1,1.3,images/target_cross.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
v,1,2.261,,,,,,,,0.761,space,0.269,0,7,7,2,1,1.5,images/target_square.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
c,0,2.161,,,,,,,,0.661,space,0.406,0,8,8,4,1,1.5,images/target_plus.jpg,1,001,2023-02-20_11h31.42.362,choiceRTT,2021.2.3,Win32,59.95203837
