participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
gi,001,2023-07-31_16h06.27.666,choiceRTT,2023.1.3,Win32,60.19744763,,,,,,,,,,,,,,,,,,,,,,
gi,001,2023-07-31_16h06.27.666,choiceRTT,2023.1.3,Win32,60.19744763,c,0,1.8681,,,,,,,,,0.5681,space,7.1509,,0,0,0,1,1,1.3,images/target_plus.jpg
gi,001,2023-07-31_16h06.27.666,choiceRTT,2023.1.3,Win32,60.19744763,b,0,1.7855,,,,,,,,,0.6855,space,2.2271,,0,1,1,5,1,1.1,images/target_square.jpg
