keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
b,1,2.6428,,,,,,,,1.3428,space,4.8383,0,0,0,1,1,1.3,images/target_plus.jpg,ulala,001,03-02-2023_13h11.14.928,choiceRTT,2021.2.3,Win32,59.93766483
c,1,3.5449,,,,,,,,2.0449,space,3.4377,0,1,1,6,1,1.5,images/target_cross.jpg,ulala,001,03-02-2023_13h11.14.928,choiceRTT,2021.2.3,Win32,59.93766483
