participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,,,,,,,,,,,,,,,,,,,,,,
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,c,1,0.9135,,,,,,,,,-0.5865,space,8.6274,,0,0,0,6,1,1.5,images/target_cross.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,v,1,3.8182,,,,,,,,,2.3182,space,3.0039,,0,1,1,2,1,1.5,images/target_square.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,b,0,2.133,,,,,,,,,1.033,,,,0,2,2,5,1,1.1,images/target_square.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,b,1,3.6828,,,,,,,,,2.1828,,,,0,3,3,4,1,1.5,images/target_plus.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,b,0,2.0547,,,,,,,,,0.7547,,,,0,4,4,8,1,1.3,images/target_square.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,c,1,2.8843,,,,,,,,,1.5843,,,,0,5,5,3,1,1.3,images/target_cross.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,b,1,2.5485,,,,,,,,,1.2485,,,,0,6,6,1,1,1.3,images/target_plus.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,c,1,1.8645,,,,,,,,,0.7645,,,,0,7,7,0,1,1.1,images/target_cross.jpg
,001,2023-11-13_11h17.48.277,choiceRTT,2023.1.3,MacIntel,59.84082341,c,0,1.5615,,,,,,,,,0.4615,,,,0,8,8,7,1,1.1,images/target_plus.jpg
