keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,9.162,0.203888889,-0.345555556,1,0,0,7.206,,7.862,,0,0,0,8,1,1.3,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
b,0,5.728,,,,,,,,4.628,,0,1,1,5,1,1.1,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
c,1,3.33,,,,,,,,2.23,,0,2,2,0,1,1.1,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
c,1,3.68,,,,,,,,2.38,,0,3,3,3,1,1.3,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
b,1,4.176,,,,,,,,3.076,,0,4,4,7,1,1.1,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
c,1,2.836,,,,,,,,1.336,,0,5,5,6,1,1.5,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
v,1,3.32,,,,,,,,1.82,,0,6,6,2,1,1.5,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
c,0,2.563,,,,,,,,1.263,,0,7,7,1,1,1.3,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
b,1,4.204,,,,,,,,2.704,,0,8,8,4,1,1.5,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,,,,,
c,1,2.879,,,,,,,,1.779,,,,,,,1.1,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,0.023888889,-0.251111111,1,0,0,0,0,0,0,1
c,1,2.627,,,,,,,,1.127,,,,,,,1.5,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,1,1,6,1
b,1,2.441,,,,,,,,1.141,,,,,,,1.3,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,2,2,1,1
v,1,2.517,,,,,,,,1.017,,,,,,,1.5,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,3,3,2,1
b,1,3.038,,,,,,,,1.938,,,,,,,1.1,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,4,4,7,1
c,1,2.47,,,,,,,,1.17,,,,,,,1.3,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,5,5,3,1
v,1,2.218,,,,,,,,1.118,,,,,,,1.1,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,6,6,5,1
b,1,2.985,,,,,,,,1.485,,,,,,,1.5,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,7,7,4,1
v,1,2.424,,,,,,,,1.124,,,,,,,1.3,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,0,8,8,8,1
b,1,2.845,,,,,,,,1.545,,,,,,,1.3,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,0,9,1,1
v,1,2.288,,,,,,,,1.188,,,,,,,1.1,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,1,10,5,1
c,1,2.292,,,,,,,,0.992,,,,,,,1.3,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,2,11,3,1
v,1,2.259,,,,,,,,0.959,,,,,,,1.3,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,3,12,8,1
b,1,2.955,,,,,,,,1.455,,,,,,,1.5,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,4,13,4,1
b,1,2.298,,,,,,,,1.198,,,,,,,1.1,images/target_plus.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,5,14,7,1
v,1,2.468,,,,,,,,0.968,,,,,,,1.5,images/target_square.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,6,15,2,1
c,1,2.336,,,,,,,,1.236,,,,,,,1.1,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,7,16,0,1
c,1,2.335,,,,,,,,0.835,,,,,,,1.5,images/target_cross.jpg,,001,2023-03-20_19h44.37.065,choiceRTT,2021.2.3,Linux x86_64,29.95805872,,,,,,,1,8,17,6,1
