keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
c,1,4.6594,,,,,,,,3.3594,space,5.5142,0,0,0,3,1,1.3,images/target_cross.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
c,0,2.3667,,,,,,,,1.2667,space,3.2191,0,1,1,7,1,1.1,images/target_plus.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
v,1,4.0356,,,,,,,,2.5356,space,2.071,0,2,2,2,1,1.5,images/target_square.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
c,1,3.3038,,,,,,,,2.2038,space,1.2993,0,3,3,0,1,1.1,images/target_cross.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
c,1,2.7366,,,,,,,,1.2366,space,1.2342,0,4,4,6,1,1.5,images/target_cross.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
b,1,3.0549,,,,,,,,1.7549,space,1.4687,0,5,5,1,1,1.3,images/target_plus.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
v,1,3.0712,,,,,,,,1.7712,space,0.7764,0,6,6,8,1,1.3,images/target_square.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
v,1,2.752,,,,,,,,1.652,space,0.8517,0,7,7,5,1,1.1,images/target_square.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
b,1,3.3843,,,,,,,,1.8843,space,1.0089,0,8,8,4,1,1.5,images/target_plus.jpg,p1,001,2023-06-12_14h26.35.850,choiceRTT,2021.2.3,Win32,60.92731371
