participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,,,,,,,,,,,,,,,,,,,,,,
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,b,1,2.4763,,,,,,,,,1.3763,space,1.0889,,0,0,0,7,1,1.1,images/target_plus.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,c,1,2.1105,,,,,,,,,0.8105,space,0.8489,,0,1,1,3,1,1.3,images/target_cross.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,b,1,3.9962,,,,,,,,,2.4962,space,0.7655,,0,2,2,4,1,1.5,images/target_plus.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,c,1,2.6884,,,,,,,,,1.1884,space,0.6324,,0,3,3,6,1,1.5,images/target_cross.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,v,1,2.2934,,,,,,,,,0.7934,space,0.8823,,0,4,4,2,1,1.5,images/target_square.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,v,1,2.0483,,,,,,,,,0.9483,space,0.419,,0,5,5,5,1,1.1,images/target_square.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,b,1,2.3495,,,,,,,,,1.0495,space,0.2812,,0,6,6,1,1,1.3,images/target_plus.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,v,1,2.6096,,,,,,,,,1.3096,space,0.2212,,0,7,7,8,1,1.3,images/target_square.jpg
mm,001,2023-11-07_13h18.52.970,choiceRTT,2023.1.3,Win32,59.91611744,c,1,1.877,,,,,,,,,0.777,space,0.2466,,0,8,8,0,1,1.1,images/target_cross.jpg
