keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,7.4764,,,,,,,,5.9764,,0,0,0,4,1,1.5,images/target_plus.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
v,1,23.9904,,,,,,,,22.6904,,0,1,1,8,1,1.3,images/target_square.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
b,0,9.1962,,,,,,,,8.0962,,0,2,2,0,1,1.1,images/target_cross.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
v,1,5.0324,,,,,,,,3.9324,,0,3,3,5,1,1.1,images/target_square.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
b,0,7.1315,,,,,,,,5.6315,,0,4,4,2,1,1.5,images/target_square.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
c,0,5.0374,,,,,,,,3.9374,,0,5,5,7,1,1.1,images/target_plus.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
c,1,3.1186,,,,,,,,1.6186,,0,6,6,6,1,1.5,images/target_cross.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
b,1,3.0585,,,,,,,,1.7585,,0,7,7,1,1,1.3,images/target_plus.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
c,1,2.6167,,,,,,,,1.3167,,0,8,8,3,1,1.3,images/target_cross.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,,,,,
v,1,3.8379,,,,,,,,2.3379,,,,,,,1.5,images/target_square.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,0.066666667,-0.25,1,0,0,0,0,0,2,1
c,1,3.1005,,,,,,,,2.0005,,,,,,,1.1,images/target_cross.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,0,1,1,0,1
c,1,3.5786,,,,,,,,2.0786,,,,,,,1.5,images/target_cross.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,0,2,2,6,1
c,1,2.2269,,,,,,,,0.9269,,,,,,,1.3,images/target_cross.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,0,3,3,3,1
b,1,3.4294,,,,,,,,2.3294,,,,,,,1.1,images/target_plus.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,0,4,4,7,1
b,1,4.2524,,,,,,,,2.7524,,,,,,,1.5,images/target_plus.jpg,D,001,04-02-2023_18h53.54.529,choiceRTT,2021.2.3,Win32,165.6177542,,,,,,,0,5,5,4,1
