keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,0.041,,,,,,,,-1.059,,0,0,0,7,1,1.1,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
v,1,2.7932,,,,,,,,1.4932,,0,1,1,8,1,1.3,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
b,1,2.6525,,,,,,,,1.1525,,0,2,2,4,1,1.5,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
c,1,1.9705,,,,,,,,0.8705,,0,3,3,0,1,1.1,images/target_cross.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
v,1,1.897,,,,,,,,0.797,,0,4,4,5,1,1.1,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
v,1,2.0719,,,,,,,,0.5719,,0,5,5,2,1,1.5,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
c,0,2.0913,,,,,,,,0.7913,,0,6,6,1,1,1.3,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
c,1,2.4043,,,,,,,,0.9043,,0,7,7,6,1,1.5,images/target_cross.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
c,1,1.8898,,,,,,,,0.5898,,0,8,8,3,1,1.3,images/target_cross.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,,,,,
c,1,2.5912,,,,,,,,1.2912,,,,,,,1.3,images/target_cross.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,0.023148148,-0.222222222,1,0,0,0,0,0,3,1
v,1,1.8595,,,,,,,,0.7595,,,,,,,1.1,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,1,1,5,1
c,1,2.231,,,,,,,,0.731,,,,,,,1.5,images/target_cross.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,2,2,6,1
c,1,1.7038,,,,,,,,0.6038,,,,,,,1.1,images/target_cross.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,3,3,0,1
b,1,1.7244,,,,,,,,0.6244,,,,,,,1.1,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,4,4,7,1
v,1,1.7953,,,,,,,,0.4953,,,,,,,1.3,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,5,5,8,1
b,1,2.0124,,,,,,,,0.7124,,,,,,,1.3,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,6,6,1,1
b,1,2.2808,,,,,,,,0.7808,,,,,,,1.5,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,7,7,4,1
v,1,1.9139,,,,,,,,0.4139,,,,,,,1.5,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,0,8,8,2,1
v,1,1.53,,,,,,,,0.43,,,,,,,1.1,images/target_square.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,1,0,9,5,1
c,0,1.6515,,,,,,,,0.5515,,,,,,,1.1,images/target_plus.jpg,234,001,2023-05-04_20h32.22.452,choiceRTT,2021.2.3,Win32,142.8775539,,,,,,,1,1,10,7,1
