participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
1,001,2024-02-02_13h56.00.724,choiceRTT,2023.1.3,MacIntel,126.9035533,,,,,,,,,,,,,,,,,,,,,,
1,001,2024-02-02_13h56.00.724,choiceRTT,2023.1.3,MacIntel,126.9035533,c,0,4.196,,,,,,,,,3.096,v,0.109,,0,0,0,7,1,1.1,images/target_plus.jpg
