participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.3591,,,,,,,,,1.2591,space,0.2009,,0,0,0,7,1,1.1,images/target_plus.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,v,1,3.6573,,,,,,,,,2.1573,space,0.1686,,0,1,1,2,1,1.5,images/target_square.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.0555,,,,,,,,,0.9555,space,0.4525,,0,2,2,5,1,1.1,images/target_square.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,v,1,2.4302,,,,,,,,,1.1302,space,0.3964,,0,3,3,8,1,1.3,images/target_square.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.282,,,,,,,,,0.782,space,0.4193,,0,4,4,6,1,1.5,images/target_cross.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.3879,,,,,,,,,1.0879,space,0.3148,,0,5,5,1,1,1.3,images/target_plus.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,c,1,2.1248,,,,,,,,,0.8248,space,1.263,,0,6,6,3,1,1.3,images/target_cross.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,c,1,1.9872,,,,,,,,,0.8872,space,0.8058,,0,7,7,0,1,1.1,images/target_cross.jpg
,001,2023-12-24_17h01.06.538,choiceRTT,2023.1.3,Win32,59.88023952,b,1,2.6995,,,,,,,,,1.1995,space,0.8159,,0,8,8,4,1,1.5,images/target_plus.jpg
