participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
DFD,001,2023-12-12_12h12.20.262,choiceRTT,2023.1.3,Win32,58.04841238,,,,,,,,,,,,,,,,,,,,,,
DFD,001,2023-12-12_12h12.20.262,choiceRTT,2023.1.3,Win32,58.04841238,c,0,0.9301,,,,,,,,,-0.1699,c,0.8712,,0,0,0,5,1,1.1,images/target_square.jpg
DFD,001,2023-12-12_12h12.20.262,choiceRTT,2023.1.3,Win32,58.04841238,c,0,0.7481,,,,,,,,,-0.3519,c,0.4776,,0,1,1,7,1,1.1,images/target_plus.jpg
DFD,001,2023-12-12_12h12.20.262,choiceRTT,2023.1.3,Win32,58.04841238,c,0,1.1539,,,,,,,,,-0.3461,c,0.5989,,0,2,2,4,1,1.5,images/target_plus.jpg
DFD,001,2023-12-12_12h12.20.262,choiceRTT,2023.1.3,Win32,58.04841238,c,0,0.3286,,,,,,,,,-0.9714,space,1.0371,,0,3,3,1,1,1.3,images/target_plus.jpg
