keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,4.3421,,,,,,,,3.0421,,0,0,0,3,1,1.3,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
c,1,1.6059,,,,,,,,0.5059,,0,1,1,0,1,1.1,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
c,0,1.905,,,,,,,,0.605,,0,2,2,1,1,1.3,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
c,1,2.2555,,,,,,,,0.7555,,0,3,3,6,1,1.5,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
v,0,2.1891,,,,,,,,0.6891,,0,4,4,4,1,1.5,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
c,0,1.8359,,,,,,,,0.7359,,0,5,5,7,1,1.1,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
v,1,2.0253,,,,,,,,0.7253,,0,6,6,8,1,1.3,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
v,1,1.8721,,,,,,,,0.7721,,0,7,7,5,1,1.1,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
v,1,2.0275,,,,,,,,0.5275,,0,8,8,2,1,1.5,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,,,,,
v,0,5.4614,0.101851852,0.162962949,1,0,0,2.7671,,4.1614,,,,,,,1.3,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,-0.031481496,-0.232407393,1,0,0,0,0,0,1,1
v,1,2.3916,,,,,,,,0.8916,,,,,,,1.5,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,1,1,2,1
c,0,1.8644,,,,,,,,0.7644,,,,,,,1.1,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,2,2,7,1
b,0,1.843,,,,,,,,0.543,,,,,,,1.3,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,3,3,3,1
b,1,2.6092,,,,,,,,1.1092,,,,,,,1.5,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,4,4,4,1
v,1,1.8092,,,,,,,,0.7092,,,,,,,1.1,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,5,5,5,1
v,1,1.9969,,,,,,,,0.6969,,,,,,,1.3,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,6,6,8,1
c,1,1.6475,,,,,,,,0.5475,,,,,,,1.1,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,7,7,0,1
c,1,2.1388,,,,,,,,0.6388,,,,,,,1.5,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,0,8,8,6,1
c,1,1.8203,,,,,,,,0.5203,,,,,,,1.3,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,0,9,3,1
b,1,1.9269,,,,,,,,0.6269,,,,,,,1.3,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,1,10,1,1
c,1,1.7709,,,,,,,,0.6709,,,,,,,1.1,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,2,11,0,1
b,1,2.2162,,,,,,,,1.1162,,,,,,,1.1,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,3,12,7,1
b,1,2.2445,,,,,,,,0.7445,,,,,,,1.5,images/target_plus.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,4,13,4,1
v,1,1.9589,,,,,,,,0.6589,,,,,,,1.3,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,5,14,8,1
v,1,1.8432,,,,,,,,0.7432,,,,,,,1.1,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,6,15,5,1
v,1,2.0733,,,,,,,,0.5733,,,,,,,1.5,images/target_square.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,7,16,2,1
c,1,2.2264,,,,,,,,0.7264,,,,,,,1.5,images/target_cross.jpg,J,001,2023-04-08_24h17.03.042,choiceRTT,2021.2.3,Win32,19.99280259,,,,,,,1,8,17,6,1
