my.response.keys, my.response.corr, my.response.rt, my.mouseResp.x, my.mouseResp.y, my.mouseResp.leftButton, my.mouseResp.midButton, my.mouseResp.rightButton, my.mouseResp.RT, my.mouseResp.clicked_name, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , -0.13240740740740742, -0.007407407407407408, 1, 0, 0, 0.4169999999999998, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , 0.06759259259259259, -0.004629629629629629, 1, 0, 0, 0.5489999999999995, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , 0.4148148148148148, 0.05, 1, 0, 0, 1.0500000000000007, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , 0.07314814814814814, 0.018518518518518517, 1, 0, 0, 0.41799999999999926, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , 0.28055555555555556, 0.025, 1, 0, 0, 0.5339999999999989, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , -0.05925925925925926, 0.03148148148148148, 1, 0, 0, 0.48300000000000054, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , -0.33796296296296297, -0.000925925925925926, 1, 0, 0, 0.43400000000000105, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
, 0, , -0.38425925925925924, -0.011111111111111112, 1, 0, 0, 0.41600000000000037, my.targImage, 1, 0, 8, 0, 1, 7, 1, -0.375, c, bas, 001, Fri Jul 20 2018 13:49:35 GMT-0400 (Eastern Daylight Time), choiceRTT, 60
